Entity,Relationship,Value
Hexosaminidase A enzyme activity indicating TSD (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),is confirmed by,MUGS test (Diagnostic Procedure)
MUGS test (Diagnostic Procedure) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),confirms,Tay-Sachs disease (Disease or Syndrome)
Confirmed TSD (Disease or Syndrome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),requires,Molecular confirmation with CGPH gene panel (Diagnostic Procedure)
2 disease-causing variants in HEXA (Gene or Genome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),confirm,Tay-Sachs disease (Disease or Syndrome)
0-1 disease-causing variants in HEXA (Gene or Genome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),suggests,Variant not detectable by this method (Finding)
Hexosaminidase A enzyme activity indicating carrier status or indeterminate (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),excludes,Sandhoff disease (Disease or Syndrome)
Normal Hexosaminidase A enzyme activity (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),excludes,Sandhoff disease (Disease or Syndrome)
Hexosaminidase A enzyme activity indicating possible Sandhoff carrier (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),excludes,Sandhoff disease (Disease or Syndrome)
If most common TSD forms are excluded (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),requires,AB variant molecular testing (Diagnostic Procedure)
Hexosaminidase A enzyme activity indicating Sandhoff disease (Finding) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),is confirmed by,MUGS test (Diagnostic Procedure)
MUGS test (Diagnostic Procedure) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),confirms,Sandhoff disease (Disease or Syndrome)
Confirmed Sandhoff disease (Disease or Syndrome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),warrants,HEXB full gene analysis (Diagnostic Procedure)
2 disease-causing variants in HEXB (Gene or Genome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),confirm,Sandhoff disease (Disease or Syndrome)
0-1 disease-causing variants in HEXB (Gene or Genome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),suggest,Variant undetectable by this method (Finding)
Confirmed TSD or Sandhoff disease (Disease or Syndrome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),requires,Referral to Genetics Specialist (Healthcare Activity)
Positive newborn screen for SMA (Finding) (spinal-muscular-atrophy-testing-algorithm),leads to diagnostic procedure,SMN1/spinal muscular atrophy diagnostic assay (Diagnostic Procedure)
Clinical suspicion of spinal muscular atrophy (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),leads to diagnostic procedure,SMN1/spinal muscular atrophy diagnostic assay (Diagnostic Procedure)
Zero SMN1 functional copies (Finding) (spinal-muscular-atrophy-testing-algorithm),requires evaluation of,SMN2 copy number (Diagnostic Procedure)
Zero SMN1 functional copies and 0–2 SMN2 functional copies (Finding) (spinal-muscular-atrophy-testing-algorithm),confers diagnosis of,Spinal muscular atrophy type I (Disease or Syndrome)
Spinal muscular atrophy type I (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,Specialist referral (Healthcare Activity)
Spinal muscular atrophy type I (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,SMA treatment (Therapeutic or Preventive Procedure)
Zero SMN1 functional copies and ≥3 SMN2 functional copies (Finding) (spinal-muscular-atrophy-testing-algorithm),confers diagnosis of,Mild to intermediate SMA (Disease or Syndrome)
Mild to intermediate SMA (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,Specialist referral (Healthcare Activity)
Mild to intermediate SMA (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,SMA treatment (Therapeutic or Preventive Procedure)
One or more SMN1 functional copies (Finding) (spinal-muscular-atrophy-testing-algorithm),makes,SMA unlikely (Finding)
Persisting clinical suspicion of SMA (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires additional diagnostic procedure,"SMN2/SMN1 Deletion/Duplication Analysis, Variants (Diagnostic Procedure)"
Genotype consistent with SMA (Finding) (spinal-muscular-atrophy-testing-algorithm),confers diagnosis of,Spinal muscular atrophy (Disease or Syndrome)
Spinal muscular atrophy (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,Specialist referral (Healthcare Activity)
Spinal muscular atrophy (Disease or Syndrome) (spinal-muscular-atrophy-testing-algorithm),requires,SMA treatment (Therapeutic or Preventive Procedure)
Negative or carrier genotype result (Finding) (spinal-muscular-atrophy-testing-algorithm),excludes,Spinal muscular atrophy (Disease or Syndrome)
Neurovisceral attacks (Finding) (Porphyria__Acute__Testing_Algorithm),suggests,Acute porphyrias (Disease or Syndrome)
Isolated ALA increase (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,ALAD test (Diagnostic Procedure)
Isolated ALA increase (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,Organic acids screen (Diagnostic Procedure)
Isolated ALA increase (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,Heavy metal test (Diagnostic Procedure)
Decreased ALAD activity (Finding) (Porphyria__Acute__Testing_Algorithm),confirms,ADP (Disease or Syndrome)
Decreased ALAD activity (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,ALAD gene testing (Diagnostic Procedure)
Normal ALAD activity (Finding) (Porphyria__Acute__Testing_Algorithm),excludes,ADP (Disease or Syndrome)
Porphyrin testing (Diagnostic Procedure) (Porphyria__Acute__Testing_Algorithm),detects,Porphobilinogen (Finding)
Normal porphyrin results during acute episode (Finding) (Porphyria__Acute__Testing_Algorithm),excludes,Acute porphyrias (Disease or Syndrome)
Normal porphyrin results outside acute episode (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,Repeat testing during acute episode (Diagnostic Procedure)
Increased porphobilinogen (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,PBGD test (Diagnostic Procedure)
Increased porphobilinogen (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,Fecal porphyrin test (Diagnostic Procedure)
Decreased PBGD activity (Finding) (Porphyria__Acute__Testing_Algorithm),diagnoses,AIP (Disease or Syndrome)
Decreased PBGD activity (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,HMBS gene testing (Diagnostic Procedure)
Increased coproporphyrin III/I ratio (<10) with protoporphyrin (Finding) (Porphyria__Acute__Testing_Algorithm),diagnoses,VP (Disease or Syndrome)
Increased coproporphyrin III/I ratio (<10) with protoporphyrin (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,PPOX gene testing (Diagnostic Procedure)
Increased coproporphyrin III/I ratio (<10) with coproporphyrin III (Finding) (Porphyria__Acute__Testing_Algorithm),diagnoses,HCP (Disease or Syndrome)
Increased coproporphyrin III/I ratio (<10) with coproporphyrin III (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,CPOX gene testing (Diagnostic Procedure)
Normal PBGD activity and normal fecal porphyrin profile (Finding) (Porphyria__Acute__Testing_Algorithm),excludes,VP and HCP (Disease or Syndrome)
Normal PBGD activity and normal fecal porphyrin profile (Finding) (Porphyria__Acute__Testing_Algorithm),does not exclude,AIP (Disease or Syndrome)
Normal PBGD activity and normal fecal porphyrin profile (Finding) (Porphyria__Acute__Testing_Algorithm),prompts,APGP (Diagnostic Procedure)
AIP (Disease or Syndrome) (Porphyria__Acute__Testing_Algorithm),prompts,Family studies (Diagnostic Procedure)
VP (Disease or Syndrome) (Porphyria__Acute__Testing_Algorithm),prompts,Family studies (Diagnostic Procedure)
HCP (Disease or Syndrome) (Porphyria__Acute__Testing_Algorithm),prompts,Family studies (Diagnostic Procedure)
Clinical suspicion of Prader-Willi syndrome or Angelman syndrome (Disease or Syndrome) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),leads to ordering,"Prader-Will/Angelman Syndrome, Molecular Analysis, Variants (Diagnostic Procedure)"
Absence of prior molecular analysis (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),requires,"Chromosomal Microarray, Congenital, Blood (Diagnostic Procedure)"
"Abnormal DNA methylation with deletion/uncertain, inherited 15q11.2-q13 (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis)",indicates,Angelman syndrome (Disease or Syndrome)
"Abnormal DNA methylation with deletion/uncertain, inherited 15q11.2-q13 (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis)",indicates,Prader-Willi syndrome (Disease or Syndrome)
Abnormal methylation consistent with PWS or AS (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),suggests,Prader-Willi syndrome or Angelman syndrome (Disease or Syndrome)
Abnormal methylation consistent with PWS or AS (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),requires clarification by,Uniparental Disomy test for chromosome 15 (Diagnostic Procedure)
No abnormality detected on molecular or microarray analysis (Finding) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),decreases likelihood of,Prader-Willi syndrome (Disease or Syndrome)
Persistent clinical suspicion of Angelman syndrome (Disease or Syndrome) (Prader-Willi_and_Angelman_Syndromes_Laboratory_Approach_to_Diagnosis),requires,UBE3A gene sequencing (Diagnostic Procedure)
Exposure to ticks in a Lyme-endemic region with cranial neuropathy (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),suggests,Neuroinvasive Lyme disease (Disease or Syndrome)
Exposure to ticks in a Lyme-endemic region with radiculoneuritis (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),suggests,Neuroinvasive Lyme disease (Disease or Syndrome)
Exposure to ticks in a Lyme-endemic region with lymphocytic meningitis (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),suggests,Neuroinvasive Lyme disease (Disease or Syndrome)
Exposure to ticks in a Lyme-endemic region with Bannwarth syndrome (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),suggests,Neuroinvasive Lyme disease (Disease or Syndrome)
Neuroinvasive Lyme disease (Disease or Syndrome) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),is evaluated by,LNBAB / Lyme CNS Infection IgG with Antibody Index Reflex (Diagnostic Procedure)
CSF specimen (Specimen) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),is screened by,Anti-Borrelia IgG ELISA (Diagnostic Procedure)
Positive CSF anti-Borrelia IgG result (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),initiates,Reflex testing of paired CSF and serum (Diagnostic Procedure)
Negative CSF anti-Borrelia IgG result (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),excludes,Reflex testing of serum (Diagnostic Procedure)
Reflex testing of paired CSF and serum (Diagnostic Procedure) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),calculates,Lyme CNS Antibody Index (Finding)
Lyme CNS AI >1.5 (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),indicates,Neuroinvasive Lyme disease (Disease or Syndrome)
Lyme CNS AI 1.3-1.5 (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),suggests,Possible neuroinvasive Lyme disease (Disease or Syndrome)
Lyme CNS AI 0.6-1.3 (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),rules out,Neuroinvasive Lyme disease (Disease or Syndrome)
Lyme CNS AI <0.6 (Finding) (Lyme_Neuroborreliosis_Diagnostic_Algorithm),represents,Invalid test result (Finding)
Decreased acid alpha-glucosidase (GAA) (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),leads_to,Clinical assessment and laboratory tests (Diagnostic Procedure)
PD2T/PDBS (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Pompe_Disease),follows_from,Decreased acid alpha-glucosidase (GAA) (Finding)
PD2T/PDBS positive (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),requires,Evaluation for cardiomyopathy (Diagnostic Procedure)
PD2T/PDBS positive with evidence of cardiomyopathy (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),indicates,Pompe disease (Disease or Syndrome)
Pompe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Pompe_Disease),necessitates,Referral to Genetics Specialist (Therapeutic or Preventive Procedure)
PD2T/PDBS positive without evidence of cardiomyopathy (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),prompts,GAAZ / Full Gene Analysis (Diagnostic Procedure)
Uninformative gene sequencing (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),leads_to,GAA deletion/duplication analysis (Diagnostic Procedure)
Genotype consistent with Pompe disease (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),confirms,Pompe disease (Disease or Syndrome)
Pompe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Pompe_Disease),requires,Referral to Genetics Specialist (Therapeutic or Preventive Procedure)
Testing negative or carrier status (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),makes,Pompe disease unlikely (Disease or Syndrome)
PD2T negative with normal HEX4 (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),indicates,Infantile/Early Onset Pompe disease unlikely (Disease or Syndrome)
PD2T negative with normal HEX4 (Finding) (Newborn_Screen_Follow-up_for_Pompe_Disease),does_not_exclude,Late Onset Pompe disease (Disease or Syndrome)
Ulcerative colitis or Crohn disease (Disease) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Biologic therapy (Pharmacologic Substance)
Thiopurine therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires_pre-therapy_test,TPMT enzyme activity test (Diagnostic Procedure)
Thiopurine therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires_pre-therapy_test,TPMT and NUDT15 genotyping (Diagnostic Procedure)
Biologic therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Proactive or reactive monitoring (Diagnostic Procedure)
Adalimumab therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Adalimumab quantitative with reflex test (Diagnostic Procedure)
Infliximab therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Infliximab quantitative with reflex test (Diagnostic Procedure)
Risankizumab therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Risankizumab quantitative with reflex test (Diagnostic Procedure)
Ustekinumab therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Ustekinumab quantitative with reflex test (Diagnostic Procedure)
Vedolizumab therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Vedolizumab quantitative with reflex test (Diagnostic Procedure)
No TPMT enzyme activity (Finding) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),contraindicates,Thiopurine therapy (Pharmacologic Substance)
Decreased TPMT enzyme activity (Finding) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Reduced thiopurine dosing (Therapeutic or Preventive Procedure)
Normal TPMT enzyme activity (Finding) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Weight-based thiopurine dosing (Therapeutic or Preventive Procedure)
Thiopurine therapy (Pharmacologic Substance) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Thiopurine metabolite test (Diagnostic Procedure)
NUDT15 variant (Genetic Variation) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),negates_usefulness_of,Thiopurine metabolite test (Diagnostic Procedure)
Concurrent biologic and thiopurine therapy (Therapeutic or Preventive Procedure) (Ulcerative-Colitis-Crohn-Disease-Therapeutic-Drug-Monitoring-Algorithm),requires,Therapeutic drug monitoring (Diagnostic Procedure)
Suspected pediatric CNS demyelinating disease (Disease or Syndrome) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need for,MRI (Diagnostic Procedure)
Abnormal MRI consistent with optic neuritis (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),leads to diagnosis of,Pediatric optic neuritis (Disease or Syndrome)
Pediatric optic neuritis (Disease or Syndrome) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need for,"CDS1 / CNS Demyelinating Disease Evaluation, Serum (Diagnostic Procedure)"
"Normal MRI or MRI suggestive of ADEM, neuromyelitis optica, or unilateral encephalitis, or inflammatory CSF (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm)",leads to diagnosis of,Pediatric encephalitis or ADEM or unilateral encephalitis (Disease or Syndrome)
Pediatric encephalitis or ADEM or unilateral encephalitis (Disease or Syndrome) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need for,"PDEES / Pediatric Autoimmune Encephalopathy / CNS Disorder Evaluation, Spinal Fluid (Diagnostic Procedure) and PDESS / Pediatric Autoimmune Encephalopathy / CNS Disorder Evaluation, Serum (Diagnostic Procedure)"
Abnormal MRI consistent with other CNS demyelination or inflammatory CSF (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),leads to diagnosis of,Pediatric brainstem or cerebellar syndrome or sclerosis (Disease or Syndrome)
Pediatric brainstem or cerebellar syndrome or sclerosis (Disease or Syndrome) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need for,"CDS1 / CNS Demyelinating Disease Evaluation, Serum (Diagnostic Procedure)"
"Coexisting encephalitis, seizures, ataxia, movement disorder, or atypical presentation (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm)",indicates need for,PCDEC (Diagnostic Procedure) and PCODES (Diagnostic Procedure)
Positive CDS1 with MOG-IgG titer ≥1:100 (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD) (Disease or Syndrome)
Positive CDS1 with MOG-IgG titer 1:20 or 1:40 (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),suggests possible,MOGAD (Disease or Syndrome)
Presence of red flags for alternative diagnosis or multiple sclerosis (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates,Confirm alternative diagnosis or MS (Disease or Syndrome)
Absence of red flags for alternative diagnosis or multiple sclerosis (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,MOGAD (Disease or Syndrome)
Positive CDS1 with AQP4-IgG (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,Aquaporin-4-IgG seropositive neuromyelitis optica spectrum disorder (NMOSD) (Disease or Syndrome)
Negative CDS1 (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need to,Reassess for multiple sclerosis or other alternative diagnosis (Disease or Syndrome)
Negative PDEES/PDESS (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),indicates need to,Reassess for multiple sclerosis or other alternative diagnosis (Disease or Syndrome)
Positive PDEES/PDESS with MOG-IgG titer ≥1:100 (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,Myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD) (Disease or Syndrome)
Positive PDEES/PDESS with MOG-IgG titer 1:20 or 1:40 (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),suggests possible,MOGAD (Disease or Syndrome)
Positive PDEES/PDESS with AQP4-IgG (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,Aquaporin-4-IgG seropositive NMOSD (Disease or Syndrome)
Positive PDEES/PDESS with any other antibody (Finding) (Pediatric Autoimmune CNS Demyelinating Disease Diagnostic Algorithm),confirms diagnosis of,Antibody-associated autoimmune or paraneoplastic CNS disorder (Disease or Syndrome)
Cholesterol (Pharmacologic Substance) (Steroid_Pathways),is converted by STAR (Gene or Genome) and CYP11A1 (Gene or Genome) into,Pregnenolone (Pharmacologic Substance)
Pregnenolone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP21A2 (Gene or Genome) into,11-Deoxycorticosterone (Pharmacologic Substance)
11-Deoxycorticosterone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP11B2 (Gene or Genome) into,Corticosterone (Pharmacologic Substance)
Corticosterone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP11B2 (Gene or Genome) into,18-Deoxycorticosterone (Pharmacologic Substance)
18-Deoxycorticosterone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP11B2 (Gene or Genome) into,Aldosterone (Pharmacologic Substance)
Cholesterol (Pharmacologic Substance) (Steroid_Pathways),is converted by STAR (Gene or Genome) and CYP11A1 (Gene or Genome) into,Pregnenolone (Pharmacologic Substance)
Pregnenolone (Pharmacologic Substance) (Steroid_Pathways),is converted by POR (Gene or Genome) into,17α-Hydroxypregnenolone (Pharmacologic Substance)
17α-Hydroxypregnenolone (Pharmacologic Substance) (Steroid_Pathways),is converted by HSD3B1 and HSD3B2 (Gene or Genome) into,17-Hydroxyprogesterone (Pharmacologic Substance)
17-Hydroxyprogesterone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP21A2 (Gene or Genome) into,11-Deoxycortisol (Pharmacologic Substance)
11-Deoxycortisol (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP11B1 (Gene or Genome) into,Cortisol (Pharmacologic Substance)
Pregnenolone (Pharmacologic Substance) (Steroid_Pathways),is converted by POR (Gene or Genome) into,17α-Hydroxypregnenolone (Pharmacologic Substance)
17α-Hydroxypregnenolone (Pharmacologic Substance) (Steroid_Pathways),is converted by HSD3B1 and HSD3B2 (Gene or Genome) into,17-Hydroxyprogesterone (Pharmacologic Substance)
17-Hydroxyprogesterone (Pharmacologic Substance) (Steroid_Pathways),is converted by HSD17B3 (Gene or Genome) into,Androstenediol (Pharmacologic Substance)
Androstenediol (Pharmacologic Substance) (Steroid_Pathways),is converted by SRD5A2 (Gene or Genome) into,Dihydrotestosterone (Pharmacologic Substance)
17-Hydroxyprogesterone (Pharmacologic Substance) (Steroid_Pathways),is converted by HSD3B1 and HSD3B2 (Gene or Genome) into,Androstenedione (Pharmacologic Substance)
Androstenedione (Pharmacologic Substance) (Steroid_Pathways),is converted by HSD17B3 (Gene or Genome) into,Testosterone (Pharmacologic Substance)
Testosterone (Pharmacologic Substance) (Steroid_Pathways),is converted by SRD5A2 (Gene or Genome) into,Dihydrotestosterone (Pharmacologic Substance)
Testosterone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP19A1 (Gene or Genome) into,Estrone (Pharmacologic Substance)
Estrone (Pharmacologic Substance) (Steroid_Pathways),is converted by CYP19A1 (Gene or Genome) into,Estradiol (Pharmacologic Substance)
Slide or paraffin-embedded tissue blocks (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,PATHC / Pathology Consultation (Diagnostic Procedure)
Slide or paraffin-embedded muscle or nerve biopsy blocks (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,DEX / Dermatopathology Consultation (Diagnostic Procedure)
Slide or paraffin-embedded muscle or nerve biopsy blocks (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,EPNX / Epidermal Nerve Fiber Pathology Consultation (Diagnostic Procedure)
Slide or paraffin-embedded muscle or nerve biopsy blocks (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,PNEK / Peripheral Nerve Pathology Consultation (Diagnostic Procedure)
Slide or paraffin-embedded bone marrow biopsy blocks and fresh aspirate (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,PATHC / Pathology Consultation (Diagnostic Procedure)
"Bone marrow aspirate, bone marrow core biopsy, and clot (Specimen) (Pathology_Consultation_Ordering_Algorithm)",requires,"HPWET / Hematopathology Consultation, Wet Tissue (Diagnostic Procedure)"
"Unembedded bone marrow aspirate, bone marrow core biopsy, and clot (Specimen) (Pathology_Consultation_Ordering_Algorithm)",requires,"HPWET / Hematopathology Consultation, Wet Tissue (Embedded) (Diagnostic Procedure)"
Kidney biopsy (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,"RPWET / Renal Pathology Consultation, Wet Tissue (Diagnostic Procedure)"
Oral mucosa biopsy (Specimen) (Pathology_Consultation_Ordering_Algorithm),not_sent_for_immunofluorescence,"ANPAT / Axatomic Pathology Consultation, Wet Tissue (Diagnostic Procedure)"
Formalin-preserved oral mucosa biopsy (Specimen) (Pathology_Consultation_Ordering_Algorithm),sent_for_immunofluorescence,"DEXT / Dermatopathology Consultation, Wet Tissue (Diagnostic Procedure)"
Oral mucosa biopsy in Michel's transport media (Specimen) (Pathology_Consultation_Ordering_Algorithm),sent_for_immunofluorescence,"CIB / Cutaneous Direct Immunofluorescence Testing, Wet Tissue (Diagnostic Procedure)"
Fresh frozen muscle biopsy (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,MBX / Muscle Pathology Consultation (Diagnostic Procedure)
Skin punch biopsy for nerve fiber density (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,SPBX / Epidermal Nerve Fiber Density Consultation (Diagnostic Procedure)
Peripheral nerve biopsy (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,PNBX / Peripheral Nerve Pathology Consultation (Diagnostic Procedure)
Heart tissue specimen (Specimen) (Pathology_Consultation_Ordering_Algorithm),requires,SUDC / Sudden Cardiac Death Pathology Consultation (Diagnostic Procedure)
Normal MPS and sialic acid tests (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),suggests,Mucoidosis (Disease or Syndrome)
Mucoidosis (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),confirm with,Custom Gene Panel (Diagnostic Procedure)
Abnormal sialic acid test (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),suggests,Metachromatic leukodystrophy (Disease or Syndrome)
Metachromatic leukodystrophy (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),confirm with,"Arylsulfatase A, Leukocytes (Diagnostic Procedure)"
Metachromatic leukodystrophy (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),confirm with,"Arylsulfatase A, 24-Hour Urine (Diagnostic Procedure)"
Deficient arylsulfatase A (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),confirms,Metachromatic leukodystrophy (Disease or Syndrome)
Metachromatic leukodystrophy (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),further evaluate with,Custom Gene Panel (Diagnostic Procedure)
Abnormal CT and sialic acid tests (Finding) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),suggests,Prosaposin/Saposin B deficiency (Disease or Syndrome)
Prosaposin/Saposin B deficiency (Disease or Syndrome) (Lysosomal-Disorders-Diagnostic-Algorithm-Part2),confirm with,"Arylsulfatase A, Leukocytes (Diagnostic Procedure)"
